position,loop,layers,estimator_a,estimator_b,n_items,n_layers,agreement,ci_low,ci_high
-1,1,1-47,Local J-Lens,Local J-Lens,148,47,1.0,1.0,1.000000000000001
-1,1,1-47,Local J-Lens,Final J-Lens,148,47,0.00646923519263945,0.00488786658999425,0.008194364577343302
-1,1,1-47,Local J-Lens,Logit lens,148,47,0.13844163312248423,0.12507188039102932,0.15253018976423224
-1,1,1-47,Local J-Lens,Actual loop exit,148,47,0.044709603220241506,0.03550891316848762,0.0547728579643473
-1,1,1-47,Local J-Lens,Actual final exit,148,47,0.023145485911443355,0.016388729154686605,0.03105232892466934
-1,1,1-47,Final J-Lens,Local J-Lens,148,47,0.00646923519263945,0.00488786658999425,0.008194364577343302
-1,1,1-47,Final J-Lens,Final J-Lens,148,47,1.0,1.0,1.000000000000001
-1,1,1-47,Final J-Lens,Logit lens,148,47,0.0001437607820586544,0.0,0.00043128234617596323
-1,1,1-47,Final J-Lens,Actual loop exit,148,47,0.0,0.0,0.0
-1,1,1-47,Final J-Lens,Actual final exit,148,47,0.0002875215641173088,0.0,0.0008625646923519265
-1,1,1-47,Logit lens,Local J-Lens,148,47,0.13844163312248423,0.12507188039102932,0.15253018976423224
-1,1,1-47,Logit lens,Final J-Lens,148,47,0.0001437607820586544,0.0,0.00043128234617596323
-1,1,1-47,Logit lens,Logit lens,148,47,1.0,1.0,1.000000000000001
-1,1,1-47,Logit lens,Actual loop exit,148,47,0.09718228867165038,0.07748706152961471,0.11874640598044853
-1,1,1-47,Logit lens,Actual final exit,148,47,0.05117883841288095,0.0359401955146636,0.06886141460609545
-1,1,1-47,Actual loop exit,Local J-Lens,148,47,0.044709603220241506,0.03550891316848762,0.0547728579643473
-1,1,1-47,Actual loop exit,Final J-Lens,148,47,0.0,0.0,0.0
-1,1,1-47,Actual loop exit,Logit lens,148,47,0.09718228867165038,0.07748706152961471,0.11874640598044853
-1,1,1-47,Actual loop exit,Actual loop exit,148,47,1.0,1.0,1.000000000000001
-1,1,1-47,Actual loop exit,Actual final exit,148,47,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,1-47,Actual final exit,Local J-Lens,148,47,0.023145485911443355,0.016388729154686605,0.03105232892466934
-1,1,1-47,Actual final exit,Final J-Lens,148,47,0.0002875215641173088,0.0,0.0008625646923519265
-1,1,1-47,Actual final exit,Logit lens,148,47,0.05117883841288095,0.0359401955146636,0.06886141460609545
-1,1,1-47,Actual final exit,Actual loop exit,148,47,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,1-47,Actual final exit,Actual final exit,148,47,1.0,1.0,1.000000000000001
-1,1,41-47,Local J-Lens,Local J-Lens,148,7,1.0,1.0,1.000000000000001
-1,1,41-47,Local J-Lens,Final J-Lens,148,7,0.0028957528957528956,0.0,0.007722007722007722
-1,1,41-47,Local J-Lens,Logit lens,148,7,0.5115830115830118,0.4671814671814667,0.5569498069498066
-1,1,41-47,Local J-Lens,Actual loop exit,148,7,0.24131274131274116,0.19884169884169878,0.28571428571428553
-1,1,41-47,Local J-Lens,Actual final exit,148,7,0.12741312741312735,0.09749034749034746,0.16023166023166013
-1,1,41-47,Final J-Lens,Local J-Lens,148,7,0.0028957528957528956,0.0,0.007722007722007722
-1,1,41-47,Final J-Lens,Final J-Lens,148,7,1.0,1.0,1.000000000000001
-1,1,41-47,Final J-Lens,Logit lens,148,7,0.0009652509652509652,0.0,0.0028957528957528956
-1,1,41-47,Final J-Lens,Actual loop exit,148,7,0.0,0.0,0.0
-1,1,41-47,Final J-Lens,Actual final exit,148,7,0.0019305019305019303,0.0,0.005791505791505791
-1,1,41-47,Logit lens,Local J-Lens,148,7,0.5115830115830118,0.4671814671814667,0.5569498069498066
-1,1,41-47,Logit lens,Final J-Lens,148,7,0.0009652509652509652,0.0,0.0028957528957528956
-1,1,41-47,Logit lens,Logit lens,148,7,1.0,1.0,1.000000000000001
-1,1,41-47,Logit lens,Actual loop exit,148,7,0.3812741312741311,0.32239382239382225,0.44208494208494176
-1,1,41-47,Logit lens,Actual final exit,148,7,0.20173745173745175,0.15347490347490345,0.2538610038610038
-1,1,41-47,Actual loop exit,Local J-Lens,148,7,0.24131274131274116,0.19884169884169878,0.28571428571428553
