item,group,domain,intermediate,own_pass1_fit01,c79_pass1_fit01,c7_pass1_fit01,e79_pass1_fit01,e7_pass1_fit01,own_pass1_raw,c79_pass1_raw,c7_pass1_raw,e79_pass1_raw,e7_pass1_raw,own_pass2_fit01,c79_pass2_fit01,c7_pass2_fit01,e79_pass2_fit01,e7_pass2_fit01,own_pass2_raw,c79_pass2_raw,c7_pass2_raw,e79_pass2_raw,e7_pass2_raw,own_pass3_fit01,c79_pass3_fit01,c7_pass3_fit01,e79_pass3_fit01,e7_pass3_fit01,own_pass3_raw,c79_pass3_raw,c7_pass3_raw,e79_pass3_raw,e7_pass3_raw,own_pass4_fit01,c79_pass4_fit01,c7_pass4_fit01,e79_pass4_fit01,e7_pass4_fit01,own_pass4_raw,c79_pass4_raw,c7_pass4_raw,e79_pass4_raw,e7_pass4_raw
confirmation-001,dg001,astronomy,Venus,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-002,dg001,astronomy,Venus,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-003,dg002,astronomy,Uranus,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9166666667,0.0052742616,0.0595238095,0.9113924051,0.8571428571,0.0000000000,0.0105485232,0.0000000000,-0.0105485232,0.0000000000,0.7500000000,0.0000000000,0.0000000000,0.7500000000,0.7500000000,0.0000000000,0.0063291139,0.0119047619,-0.0063291139,-0.0119047619,0.9166666667,0.0073839662,0.0833333333,0.9092827004,0.8333333333,1.0000000000,0.0126582278,0.1428571429,0.9873417722,0.8571428571,0.6666666667,0.0137130802,0.1309523810,0.6529535865,0.5357142857
confirmation-004,dg002,astronomy,Uranus,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1666666667,0.0021097046,0.0238095238,0.1645569620,0.1428571429,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0833333333,0.0000000000,0.0000000000,0.0833333333,0.0833333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-005,dg003,astronomy,Neptune,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0833333333,0.0084388186,0.0357142857,0.0748945148,0.0476190476,1.0000000000,0.0010548523,0.0119047619,0.9989451477,0.9880952381,0.0000000000,0.0031645570,0.0000000000,-0.0031645570,0.0000000000,1.0000000000,0.0126582278,0.1428571429,0.9873417722,0.8571428571,1.0000000000,0.0126582278,0.1428571429,0.9873417722,0.8571428571,1.0000000000,0.0084388186,0.0833333333,0.9915611814,0.9166666667
confirmation-006,dg003,astronomy,Neptune,0.0000000000,0.0021097046,0.0000000000,-0.0021097046,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0042194093,0.0476190476,-0.0042194093,-0.0476190476,0.0000000000,0.0010548523,0.0119047619,-0.0010548523,-0.0119047619,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-007,dg004,astronomy,Pluto,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010548523,0.0119047619,-0.0010548523,-0.0119047619,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-008,dg004,astronomy,Pluto,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0833333333,0.0052742616,0.0000000000,0.0780590717,0.0833333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-009,dg005,astronomy,Ceres,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021097046,0.0238095238,-0.0021097046,-0.0238095238,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-010,dg005,astronomy,Ceres,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010548523,0.0000000000,-0.0010548523,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-011,dg003,astronomy,Titan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-012,dg003,astronomy,Titan,0.0000000000,0.0063291139,0.0000000000,-0.0063291139,0.0000000000,0.0000000000,0.0179324895,0.2023809524,-0.0179324895,-0.2023809524,0.0000000000,0.0221518987,0.2500000000,-0.0221518987,-0.2500000000,0.0000000000,0.0105485232,0.1190476190,-0.0105485232,-0.1190476190,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0084388186,0.0952380952,-0.0084388186,-0.0952380952,0.0000000000,0.0453586498,0.5119047619,-0.0453586498,-0.5119047619,0.0000000000,0.0052742616,0.0595238095,-0.0052742616,-0.0595238095
