task,fit_id,metric,value,sign
multihop,1,loop1_early_mean,-0.0033992508154029513,negative
multihop,2,loop1_early_mean,-0.003580410235692805,negative
multihop,3,loop1_early_mean,-0.002845708142295061,negative
multihop,4,loop1_early_mean,-0.003399842839652264,negative
multihop,5,loop1_early_mean,-0.004174210557753998,negative
multihop,1,loop1_middle_mean,-0.07071034029553853,negative
multihop,2,loop1_middle_mean,-0.0710630387420669,negative
multihop,3,loop1_middle_mean,-0.07096209860755899,negative
multihop,4,loop1_middle_mean,-0.0708914997158284,negative
multihop,5,loop1_middle_mean,-0.07384052050772001,negative
multihop,1,loop1_final_third_mean,-0.08590555940813127,negative
multihop,2,loop1_final_third_mean,-0.08637843877727024,negative
multihop,3,loop1_final_third_mean,-0.07865193029948296,negative
multihop,4,loop1_final_third_mean,-0.07973592669997555,negative
multihop,5,loop1_final_third_mean,-0.09450101147784805,negative
multihop,1,loop1_historical_local_mean,-0.015882222754749507,negative
multihop,2,loop1_historical_local_mean,-0.01566810731791455,negative
multihop,3,loop1_historical_local_mean,-0.012756334718375537,negative
multihop,4,loop1_historical_local_mean,-0.015976157268973872,negative
multihop,5,loop1_historical_local_mean,-0.022699184644175165,negative
multihop,1,loop1_full_loop_mean,-0.05333838350635757,negative
multihop,2,loop1_full_loop_mean,-0.05367396258500998,negative
multihop,3,loop1_full_loop_mean,-0.050819912349779006,negative
multihop,4,loop1_full_loop_mean,-0.05134242308515208,negative
multihop,5,loop1_full_loop_mean,-0.057505247514440694,negative
multihop,1,loop2_early_mean,-0.033151394119909125,negative
multihop,2,loop2_early_mean,-0.03553725184464154,negative
multihop,3,loop2_early_mean,-0.03808399215912482,negative
multihop,4,loop2_early_mean,-0.034118021712975344,negative
multihop,5,loop2_early_mean,-0.03553695583251688,negative
multihop,1,loop2_middle_mean,-0.11381440207671506,negative
multihop,2,loop2_middle_mean,-0.11038317753375775,negative
multihop,3,loop2_middle_mean,-0.10893257011687797,negative
multihop,4,loop2_middle_mean,-0.11446844086614387,negative
multihop,5,loop2_middle_mean,-0.10969835348336467,negative
multihop,1,loop2_final_third_mean,-0.16444982523797613,negative
multihop,2,loop2_final_third_mean,-0.1577648354207932,negative
multihop,3,loop2_final_third_mean,-0.16606945557803476,negative
multihop,4,loop2_final_third_mean,-0.1588103502450804,negative
multihop,5,loop2_final_third_mean,-0.16068869518208903,negative
multihop,1,loop2_historical_local_mean,-0.055116459122404475,negative
multihop,2,loop2_historical_local_mean,-0.053184486655478896,negative
multihop,3,loop2_historical_local_mean,-0.05455127330572676,negative
multihop,4,loop2_historical_local_mean,-0.054874913228684666,negative
multihop,5,loop2_historical_local_mean,-0.05221909244626542,negative
multihop,1,loop2_full_loop_mean,-0.10380520714486678,negative
multihop,2,loop2_full_loop_mean,-0.10122842159973086,negative
multihop,3,loop2_full_loop_mean,-0.10436200595134583,negative
multihop,4,loop2_full_loop_mean,-0.10246560427473322,negative
multihop,5,loop2_full_loop_mean,-0.10197466816599018,negative
multihop,1,loop3_early_mean,-0.058724495683701444,negative
multihop,2,loop3_early_mean,-0.06057383143249372,negative
multihop,3,loop3_early_mean,-0.060547042335212325,negative
multihop,4,loop3_early_mean,-0.07035792018876917,negative
multihop,5,loop3_early_mean,-0.05950197152911209,negative
multihop,1,loop3_middle_mean,-0.15612502103011508,negative
multihop,2,loop3_middle_mean,-0.15384944549418295,negative
multihop,3,loop3_middle_mean,-0.1556837067150748,negative
multihop,4,loop3_middle_mean,-0.154076025103242,negative
multihop,5,loop3_middle_mean,-0.15950505314787242,negative
multihop,1,loop3_final_third_mean,-0.17086412080334334,negative
multihop,2,loop3_final_third_mean,-0.17120649417024,negative
multihop,3,loop3_final_third_mean,-0.1735161508633304,negative
multihop,4,loop3_final_third_mean,-0.17259608332661786,negative
multihop,5,loop3_final_third_mean,-0.1739773421716368,negative
multihop,1,loop3_historical_local_mean,-0.08307418281803072,negative
multihop,2,loop3_historical_local_mean,-0.0833345232726205,negative
multihop,3,loop3_historical_local_mean,-0.08382575907523103,negative
multihop,4,loop3_historical_local_mean,-0.08144315012038413,negative
multihop,5,loop3_historical_local_mean,-0.08654134485288813,negative
multihop,1,loop3_full_loop_mean,-0.12857121250571996,negative
multihop,2,loop3_full_loop_mean,-0.12854325703230562,negative
multihop,3,loop3_full_loop_mean,-0.12991563330453917,negative
multihop,4,loop3_full_loop_mean,-0.13234334287287633,negative
multihop,5,loop3_full_loop_mean,-0.13099478894954045,negative
multihop,1,loop4_early_mean,-0.02402862295866505,negative
multihop,2,loop4_early_mean,-0.02853703562324779,negative
multihop,3,loop4_early_mean,-0.027470207925985295,negative
multihop,4,loop4_early_mean,-0.0377259920029011,negative
multihop,5,loop4_early_mean,-0.03341842356489787,negative
multihop,1,loop4_middle_mean,0.058214066955645224,positive
multihop,2,loop4_middle_mean,0.05534541787368927,positive
multihop,3,loop4_middle_mean,0.05840365830339637,positive
multihop,4,loop4_middle_mean,0.04955144664217985,positive
multihop,5,loop4_middle_mean,0.05594972662617577,positive
multihop,1,loop4_final_third_mean,0.06193947011532278,positive
multihop,2,loop4_final_third_mean,0.06023902404714139,positive
multihop,3,loop4_final_third_mean,0.06178745463503737,positive
multihop,4,loop4_final_third_mean,0.06409503040707232,positive
multihop,5,loop4_final_third_mean,0.058507353117900125,positive
multihop,1,loop4_historical_local_mean,0.18906941504940958,positive
multihop,2,loop4_historical_local_mean,0.1857696751159425,positive
multihop,3,loop4_historical_local_mean,0.18776676435950407,positive
multihop,4,loop4_historical_local_mean,0.19189302316210935,positive
multihop,5,loop4_historical_local_mean,0.1813547529473972,positive
multihop,1,loop4_full_loop_mean,0.03204163803743431,positive
multihop,2,loop4_full_loop_mean,0.029015802099194302,positive
multihop,3,loop4_full_loop_mean,0.030906968337482812,positive
multihop,4,loop4_full_loop_mean,0.025306828348783696,positive
multihop,5,loop4_full_loop_mean,0.027012885393059346,positive
multihop,1,loop1_any_layer,-0.3645917895602974,negative
multihop,2,loop1_any_layer,-0.3637866365812313,negative
multihop,3,loop1_any_layer,-0.3570328239450658,negative
multihop,4,loop1_any_layer,-0.3523534642784938,negative
multihop,5,loop1_any_layer,-0.36991053541612773,negative
multihop,1,loop2_any_layer,-0.4576840506193106,negative
multihop,2,loop2_any_layer,-0.4546244692988595,negative
