virtual,pass,physical,in_primary_band,raw_own,raw_control,raw_excess,fit01_own,fit01_control,fit01_excess,fit02_own,fit02_control,fit02_excess,penultimate_own,penultimate_control,penultimate_excess,sampled_sum_own,sampled_sum_control,sampled_sum_excess,diagonal_own,diagonal_control,diagonal_excess
0,1,1,0,0.000000,0.000158,-0.000158,0.000000,0.000633,-0.000633,0.000000,0.000316,-0.000316,0.000000,0.000000,0.000000,0.000000,0.000158,-0.000158,0.000000,0.000000,0.000000
1,1,2,0,0.000000,0.000158,-0.000158,0.000000,0.000000,0.000000,0.000000,0.000158,-0.000158,0.000000,0.000079,-0.000079,0.000000,0.000000,0.000000,0.000000,0.000158,-0.000158
2,1,3,0,0.000000,0.000000,0.000000,0.000000,0.000158,-0.000158,0.000000,0.000396,-0.000396,0.000000,0.000079,-0.000079,0.000000,0.000000,0.000000,0.000000,0.000158,-0.000158
3,1,4,0,0.000000,0.000158,-0.000158,0.000000,0.000000,0.000000,0.000000,0.000158,-0.000158,0.000000,0.000158,-0.000158,0.000000,0.000000,0.000000,0.000000,0.000237,-0.000237
4,1,5,0,0.000000,0.000158,-0.000158,0.000000,0.000000,0.000000,0.000000,0.000237,-0.000237,0.000000,0.000000,0.000000,0.000000,0.000237,-0.000237,0.000000,0.000396,-0.000396
5,1,6,0,0.000000,0.000158,-0.000158,0.000000,0.000316,-0.000316,0.000000,0.000396,-0.000396,0.000000,0.000316,-0.000316,0.006250,0.000870,0.005380,0.000000,0.000158,-0.000158
6,1,7,0,0.000000,0.000237,-0.000237,0.000000,0.000475,-0.000475,0.000000,0.000475,-0.000475,0.000000,0.000237,-0.000237,0.006250,0.000475,0.005775,0.000000,0.000079,-0.000079
7,1,8,0,0.000000,0.000079,-0.000079,0.000000,0.000396,-0.000396,0.000000,0.000237,-0.000237,0.000000,0.000000,0.000000,0.006250,0.001266,0.004984,0.000000,0.000000,0.000000
8,1,9,0,0.000000,0.000079,-0.000079,0.000000,0.000712,-0.000712,0.000000,0.000158,-0.000158,0.000000,0.000158,-0.000158,0.000000,0.000158,-0.000158,0.000000,0.000000,0.000000
9,1,10,0,0.000000,0.000079,-0.000079,0.000000,0.000158,-0.000158,0.000000,0.000237,-0.000237,0.000000,0.000158,-0.000158,0.006250,0.000554,0.005696,0.000000,0.000000,0.000000
10,1,11,0,0.000000,0.000079,-0.000079,0.000000,0.000079,-0.000079,0.000000,0.000316,-0.000316,0.000000,0.000158,-0.000158,0.006250,0.000475,0.005775,0.000000,0.000000,0.000000
11,1,12,0,0.000000,0.000079,-0.000079,0.000000,0.000079,-0.000079,0.000000,0.000316,-0.000316,0.000000,0.000158,-0.000158,0.006250,0.000633,0.005617,0.000000,0.000079,-0.000079
12,1,13,0,0.000000,0.000079,-0.000079,0.000000,0.000079,-0.000079,0.000000,0.000475,-0.000475,0.000000,0.000237,-0.000237,0.006250,0.000554,0.005696,0.000000,0.000079,-0.000079
13,1,14,0,0.000000,0.000158,-0.000158,0.000000,0.000237,-0.000237,0.000000,0.000316,-0.000316,0.000000,0.000000,0.000000,0.000000,0.000475,-0.000475,0.000000,0.000000,0.000000
14,1,15,0,0.000000,0.000237,-0.000237,0.000000,0.000079,-0.000079,0.000000,0.000079,-0.000079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000079,-0.000079
