version,location,quoted,source,source_value,status,kind,note
v1,Abstract/§4.1,23.19,results/.../analysis/analysis.json :: estimates[primary_excess_difference],0.23188291139240502,exact (rounded),number,
v1,Abstract/§4.1,16.29–32.90,results/.../analysis/analysis.json :: family_percentile_95_intervals[primary_excess_difference],"[0.1628899320083425, 0.3289769593495046]",exact (rounded),number,
v1,Abstract/§4.1,37.92,results/.../analysis/analysis.json :: estimates[fit01_intended],0.3791666666666666,exact (rounded),number,
v1,Abstract/§4.1,14.43,results/.../analysis/analysis.json :: estimates[raw_intended],0.14427083333333332,exact (rounded),number,
v1,§4.1 Table 1,30.44–46.56,results/.../analysis/analysis.json :: family_percentile_95_intervals[fit01_intended],"[0.3044442204301075, 0.465625]",exact (rounded),number,
v1,§4.1 Table 1,10.45–17.87,results/.../analysis/analysis.json :: family_percentile_95_intervals[raw_intended],"[0.10454545454545454, 0.1787037037037037]",exact (rounded),number,
v1,§4.1 Table 1,0.34,results/.../analysis/analysis.json :: estimates[fit01_control],0.0034414556962025313,exact (rounded),number,
v1,§4.1 Table 1,0.18–0.51,results/.../analysis/analysis.json :: family_percentile_95_intervals[fit01_control],"[0.0018166315049226443, 0.005065116602777693]",exact (rounded),number,
v1,§4.1 Table 1,0.04,results/.../analysis/analysis.json :: estimates[raw_control],0.0004285337552742617,exact (rounded),number,
v1,§4.1 Table 1,0.02–0.08,results/.../analysis/analysis.json :: family_percentile_95_intervals[raw_control],"[0.0001849416406378432, 0.0007549433275419872]",exact (rounded),number,
v1,§4.1,23.49,results/.../analysis/analysis.json :: estimates[intended_difference],0.23489583333333322,exact (rounded),number,
v1,§4.1,17.97–28.71,results/.../analysis/analysis.json :: primary_item_resampling_95_interval,"[0.17971271756329119, 0.2870582805907173]",exact (rounded),number,
v1,§4.1/§3.2,19.73 and 24.88,results/.../analysis/analysis.json :: leave_one_group_range,"[0.19730133614627288, 0.24874848029750418]",MISMATCH,number,v1 double-rounded the report value 0.24875; exact 0.248748
v1,§4.1,22.56,results/.../analysis/analysis.json :: secondary_family[fit02_local].estimate,0.22558016877637127,exact (rounded),number,
v1,§4.1,9.52–35.59,results/.../analysis/analysis.json :: secondary_family[fit02_local].simultaneous_95_interval,"[0.09523375118988045, 0.3559265863628621]",exact (rounded),number,
v1,§4.1,0.63,results/.../analysis/analysis.json :: secondary_family[fit01_minus_fit02_local].estimate,0.006302742616033756,exact (rounded),number,
v1,§4.1,−0.73 to +1.99,results/.../analysis/analysis.json :: secondary_family[fit01_minus_fit02_local].simultaneous_95_interval,"[-0.007270138454696015, 0.019875623686763527]",exact (rounded),number,
v1,§4.2 Table 2,−8.83,results/.../analysis/analysis.json :: secondary_family[early_loop1_fixed_mean].estimate,-0.08827465717299579,exact (rounded),number,
v1,§4.2 Table 2,"−13.64, −4.01",results/.../analysis/analysis.json :: secondary_family[early_loop1_fixed_mean].simultaneous_95_interval,"[-0.13641974092762596, -0.040129573418365615]",exact (rounded),number,
v1,§4.2 Table 2,−44.41,results/.../analysis/analysis.json :: secondary_family[early_loop1_any_layer].estimate,-0.4440664556962024,exact (rounded),number,
v1,§4.2 Table 2,"−59.03, −29.79",results/.../analysis/analysis.json :: secondary_family[early_loop1_any_layer].simultaneous_95_interval,"[-0.5902854897612019, -0.2978474216312029]",MISMATCH,number,v1 double-rounded −0.29785; exact −0.297847
v1,§4.2 Table 2,−14.86,results/.../analysis/analysis.json :: secondary_family[early_loop2_fixed_mean].estimate,-0.14858089398734178,exact (rounded),number,
v1,§4.2 Table 2,"−19.54, −10.18",results/.../analysis/analysis.json :: secondary_family[early_loop2_fixed_mean].simultaneous_95_interval,"[-0.19540695469825603, -0.10175483327642752]",exact (rounded),number,
v1,§4.2 Table 2,−57.37,results/.../analysis/analysis.json :: secondary_family[early_loop2_any_layer].estimate,-0.5736550632911395,exact (rounded),number,
