item,group,pass,own_exit_excess,final_target_exit3_excess,raw_excess,fit01_excess
confirmation-001,dg001,1,0.0,-0.0031645569620253164,0.0,0.0
confirmation-002,dg001,1,0.0,0.0,0.0,0.0
confirmation-003,dg002,1,0.9810126582278481,-0.010548523206751054,0.9113924050632911,0.0
confirmation-004,dg002,1,0.9145569620253164,0.0,0.16455696202531644,0.0
confirmation-005,dg003,1,-0.015822784810126583,-0.006329113924050633,0.0,0.0
confirmation-006,dg003,1,-0.008438818565400843,-0.006329113924050633,0.0,-0.002109704641350211
confirmation-007,dg004,1,0.0,-0.007383966244725738,0.0,0.0
confirmation-008,dg004,1,0.4989451476793249,0.0,0.0,0.0
confirmation-009,dg005,1,0.0,-0.002109704641350211,0.0,0.0
confirmation-010,dg005,1,-0.00949367088607595,0.0,0.0,0.0
confirmation-011,dg003,1,0.0,0.0,0.0,0.0
confirmation-012,dg003,1,-0.029535864978902954,-0.011603375527426161,-0.017932489451476793,-0.006329113924050633
confirmation-013,dg003,1,0.0,0.0,0.0,0.0
confirmation-014,dg003,1,-0.020042194092827006,-0.0010548523206751054,0.0,-0.007383966244725738
confirmation-015,dg003,1,0.0,-0.007383966244725738,0.0,0.0
confirmation-016,dg003,1,-0.024261603375527425,-0.011603375527426161,-0.02109704641350211,-0.002109704641350211
confirmation-017,dg006,1,0.9957805907172996,-0.007383966244725738,0.08333333333333333,-0.0010548523206751054
confirmation-018,dg006,1,-0.004219409282700422,-0.005274261603375527,0.0,0.0
confirmation-019,dg006,1,0.47468354430379744,-0.007383966244725738,-0.0010548523206751054,-0.004219409282700422
confirmation-020,dg006,1,0.0,0.0,0.0,0.0
confirmation-021,dg006,1,0.0,0.0,0.0,0.0
confirmation-022,dg006,1,0.9651898734177216,-0.007383966244725738,-0.0010548523206751054,0.0
confirmation-023,dg006,1,-0.0010548523206751054,0.0,0.0,0.0
confirmation-024,dg006,1,-0.020042194092827006,-0.010548523206751054,0.0,0.0
confirmation-025,dg006,1,0.0,0.0,0.0,0.0
confirmation-026,dg006,1,-0.012658227848101266,-0.006329113924050633,0.0,-0.0010548523206751054
confirmation-027,dg006,1,0.0,0.0,0.0,0.0
