virtual,pass,physical,raw,final,local1,local2,local3
0,1,1,0.005788,0.000000,-0.000483,0.000000,0.000000
1,1,2,0.021893,0.000000,0.000000,0.000000,0.000000
2,1,3,0.007244,0.000000,-0.000161,0.000000,-0.000322
3,1,4,-0.000644,-0.000161,-0.001932,0.000000,-0.000161
4,1,5,0.006598,0.000000,-0.000161,0.000000,-0.000322
5,1,6,-0.004523,-0.003060,-0.000322,0.000000,0.000000
6,1,7,-0.000161,-0.000322,-0.000322,0.000000,0.000000
7,1,8,0.000000,-0.000644,-0.000485,0.000000,0.000000
8,1,9,0.011111,-0.000483,-0.000161,0.000000,0.000000
9,1,10,-0.000805,-0.000483,-0.000483,-0.000644,-0.000483
10,1,11,-0.000485,-0.000483,-0.000324,-0.000805,-0.000161
11,1,12,-0.000161,-0.001127,-0.000646,-0.000322,-0.000161
12,1,13,-0.000322,-0.005167,-0.000644,-0.000322,-0.000161
13,1,14,-0.000805,0.005631,-0.000805,-0.000161,-0.000161
14,1,15,-0.000644,0.006759,-0.001288,-0.000322,0.000000
15,1,16,0.010467,-0.002901,0.008693,-0.001610,-0.000161
16,1,17,0.096618,-0.001456,0.009015,-0.000483,0.000000
17,1,18,0.063929,-0.000966,0.053460,-0.001610,0.000000
18,1,19,0.095813,-0.000161,0.031884,-0.001932,0.000000
19,1,20,0.129791,-0.002093,0.010950,0.000000,-0.000161
20,1,21,0.151208,-0.000966,0.055395,0.000000,-0.000161
21,1,22,0.106763,-0.001774,0.054911,-0.000161,0.000000
22,1,23,0.109179,-0.000483,0.054267,0.000000,0.000000
23,1,24,0.065217,-0.000644,0.087276,0.010950,0.000000
24,1,25,0.096938,-0.001937,0.186130,0.010467,0.000000
25,1,26,0.082280,-0.002742,0.189514,0.009501,0.000000
26,1,27,0.070522,0.014649,0.199981,0.010950,0.000000
27,1,28,0.038484,0.004829,0.211736,0.010628,0.000000
28,1,29,0.014488,-0.004348,0.201104,0.009018,-0.000322
29,1,30,0.005634,-0.001610,0.170508,0.009823,-0.000161
30,1,31,0.007081,-0.001449,0.172125,0.010145,0.000000
31,1,32,-0.003225,-0.000161,0.171642,0.010467,-0.001449
32,1,33,-0.004199,-0.001610,0.105783,0.000000,-0.000483
33,1,34,-0.004362,-0.001771,0.104007,0.000000,-0.002254
34,1,35,-0.005167,-0.000966,0.126876,0.000000,-0.000644
35,1,36,-0.004994,-0.000966,0.083565,0.000000,-0.000805
36,1,37,-0.007407,-0.002254,0.013510,0.000000,-0.000644
37,1,38,0.011433,0.009340,0.049105,0.000000,-0.000644
38,1,39,0.035427,0.007729,0.060701,0.000000,-0.001288
39,1,40,0.056510,0.009340,0.069354,0.000000,-0.000966
40,1,41,0.116060,0.007729,0.078521,0.000000,-0.000805
41,1,42,0.126530,-0.001932,0.111532,-0.000161,-0.000322
42,1,43,0.182076,-0.002415,0.111049,-0.000644,-0.000483
43,1,44,0.222497,0.007246,0.175623,-0.000322,-0.002254
44,1,45,0.216856,-0.002738,0.214592,-0.001127,-0.005314
45,1,46,0.186390,-0.005153,0.195735,-0.001127,-0.008213
46,1,47,0.140489,-0.007085,0.200071,-0.001610,0.005153
47,1,48,0.095399,-0.002254,,-0.000161,0.006763
48,2,1,0.130686,-0.001449,,-0.001771,0.008374
49,2,2,0.095489,-0.003060,,0.004341,-0.005153
50,2,3,0.068417,-0.002254,,0.009337,-0.005153
51,2,4,0.061023,-0.001127,,0.011426,-0.011436
52,2,5,0.052809,-0.001127,,0.009977,-0.013043
53,2,6,0.031555,-0.001932,,0.010135,-0.014010
54,2,7,0.009977,-0.001449,,-0.009515,-0.013205
55,2,8,0.009648,-0.003221,,0.011085,-0.011919
56,2,9,-0.001137,-0.001771,,-0.000019,-0.016913
57,2,10,-0.000646,-0.001771,,-0.008880,-0.013370
58,2,11,-0.000483,-0.003865,,0.000467,-0.012404
59,2,12,-0.000322,-0.006602,,0.024782,-0.008052
60,2,13,-0.000644,-0.005153,,0.027039,-0.010628
61,2,14,0.010467,-0.003382,,0.004656,-0.000805
62,2,15,0.008369,-0.000644,,0.018999,0.001449
