virtual,pass,physical,in_primary_band,fit01_minus_raw,group_boot_2.5_descriptive,group_boot_97.5_descriptive,fit02_minus_raw,fit02_group_boot_2.5,fit02_group_boot_97.5,fit01_intended_minus_raw_intended,fit01_control_minus_raw_control
0,1,1,0,-0.000475,-0.001220,0.000000,-0.000158,-0.000584,0.000000,0.000000,0.000475
1,1,2,0,0.000158,0.000000,0.000584,0.000000,0.000000,0.000000,0.000000,-0.000158
2,1,3,0,-0.000158,-0.000387,0.000000,-0.000396,-0.001266,0.000000,0.000000,0.000158
3,1,4,0,0.000158,0.000000,0.000584,0.000000,0.000000,0.000000,0.000000,-0.000158
4,1,5,0,0.000158,0.000000,0.000584,-0.000079,-0.000292,0.000000,0.000000,-0.000158
5,1,6,0,-0.000158,-0.000659,0.000181,-0.000237,-0.000703,0.000000,0.000000,0.000158
6,1,7,0,-0.000237,-0.000713,0.000087,-0.000237,-0.000811,0.000128,0.000000,0.000237
7,1,8,0,-0.000316,-0.000904,0.000079,-0.000158,-0.000661,0.000183,0.000000,0.000316
8,1,9,0,-0.000633,-0.001286,-0.000204,-0.000079,-0.000527,0.000239,0.000000,0.000633
9,1,10,0,-0.000079,-0.000432,0.000192,-0.000158,-0.000814,0.000237,0.000000,0.000079
10,1,11,0,0.000000,-0.000248,0.000248,-0.000237,-0.001101,0.000237,0.000000,0.000000
11,1,12,0,0.000000,-0.000248,0.000248,-0.000237,-0.001101,0.000237,0.000000,0.000000
12,1,13,0,0.000000,-0.000248,0.000248,-0.000396,-0.001040,0.000094,0.000000,0.000000
13,1,14,0,-0.000079,-0.000730,0.000396,-0.000158,-0.000772,0.000384,0.000000,0.000079
14,1,15,0,0.000158,0.000000,0.000479,0.000158,0.000000,0.000479,0.000000,-0.000158
15,1,16,0,-0.012421,-0.034977,0.000158,-0.012975,-0.035385,-0.000099,-0.012500,-0.000079
16,1,17,0,-0.086788,-0.133480,-0.037399,-0.086788,-0.133480,-0.037399,-0.087500,-0.000712
17,1,18,0,-0.111867,-0.168094,-0.053345,-0.112104,-0.168434,-0.053458,-0.112500,-0.000633
18,1,19,0,-0.142959,-0.237032,-0.081931,-0.142484,-0.235918,-0.081617,-0.143750,-0.000791
19,1,20,0,-0.193275,-0.288291,-0.134008,-0.192484,-0.286710,-0.133478,-0.193750,-0.000475
20,1,21,0,-0.175554,-0.302126,-0.102377,-0.174051,-0.300697,-0.100914,-0.175000,0.000554
21,1,22,0,-0.136867,-0.217208,-0.091696,-0.136472,-0.216566,-0.091434,-0.137500,-0.000633
22,1,23,0,-0.143354,-0.217131,-0.095803,-0.143196,-0.216745,-0.095667,-0.143750,-0.000396
23,1,24,0,-0.062975,-0.094997,-0.027341,-0.062342,-0.094460,-0.026565,-0.062500,0.000475
24,1,25,0,-0.082120,-0.130620,-0.049402,-0.081250,-0.129236,-0.048626,-0.081250,0.000870
25,1,26,0,-0.087421,-0.137897,-0.046605,-0.081092,-0.130350,-0.033227,-0.087500,-0.000079
26,1,27,0,-0.081250,-0.144097,-0.044944,-0.069383,-0.126056,-0.028273,-0.081250,-0.000000
27,1,28,0,-0.087816,-0.159000,-0.045153,-0.075949,-0.132468,-0.038948,-0.087500,0.000316
28,1,29,0,-0.088449,-0.159735,-0.045747,-0.075000,-0.131251,-0.038250,-0.087500,0.000949
29,1,30,0,-0.081329,-0.146695,-0.043811,-0.068750,-0.127619,-0.028987,-0.081250,0.000079
30,1,31,0,-0.075237,-0.136220,-0.041035,-0.068592,-0.123175,-0.036477,-0.075000,0.000237
31,1,32,0,-0.056013,-0.104079,-0.023508,-0.055775,-0.103903,-0.023327,-0.056250,-0.000237
32,1,33,0,-0.050079,-0.098764,-0.018884,-0.043434,-0.086682,-0.014301,-0.050000,0.000079
33,1,34,0,-0.038133,-0.080542,-0.010039,-0.024763,-0.071203,0.021229,-0.037500,0.000633
34,1,35,0,-0.044858,-0.093438,-0.014844,-0.043592,-0.091966,-0.013464,-0.043750,0.001108
