id,left,right,metric,region_first,region_last,estimate,simultaneous_low,simultaneous_high
early_loop1_fixed_mean,fit01,raw,fixed_mean,0,47,-0.088275,-0.136420,-0.040130
early_loop1_any_layer,fit01,raw,any_layer,0,47,-0.444066,-0.590285,-0.297847
early_loop2_fixed_mean,fit01,raw,fixed_mean,48,95,-0.148581,-0.195407,-0.101755
early_loop2_any_layer,fit01,raw,any_layer,48,95,-0.573655,-0.720075,-0.427235
early_loop3_fixed_mean,fit01,raw,fixed_mean,96,143,-0.155869,-0.224041,-0.087698
early_loop3_any_layer,fit01,raw,any_layer,96,143,-0.610839,-0.795909,-0.425768
fit01_final_third,fit01,raw,fixed_mean,176,191,0.115427,0.046729,0.184126
fit01_layer32,fit01,raw,fixed_mean,175,175,0.246835,0.107171,0.386500
fit02_local,fit02,raw,fixed_mean,169,180,0.225580,0.095234,0.355927
fit01_minus_fit02_local,fit01,fit02,fixed_mean,169,180,0.006303,-0.007270,0.019876
penultimate_local,penultimate,raw,fixed_mean,169,180,0.088041,0.007595,0.168487
penultimate_final_third,penultimate,raw,fixed_mean,176,189,-0.048717,-0.087419,-0.010015
sampled_sum_local,sampled_sum,raw,fixed_mean,169,180,0.217240,0.091553,0.342927
sampled_sum_final_third,sampled_sum,raw,fixed_mean,176,190,0.114393,0.039555,0.189232
diagonal_local,diagonal,raw,fixed_mean,169,180,0.059520,-0.003395,0.122436
diagonal_final_third,diagonal,raw,fixed_mean,176,190,0.001709,-0.046636,0.050053
fit01_minus_penultimate_local,fit01,penultimate,fixed_mean,169,180,0.143842,0.076994,0.210691
fit01_minus_penultimate_final_third,fit01,penultimate,fixed_mean,176,189,0.169168,0.097159,0.241178
sampled_sum_minus_diagonal_local,sampled_sum,diagonal,fixed_mean,169,180,0.157720,0.057964,0.257477
sampled_sum_minus_diagonal_final_third,sampled_sum,diagonal,fixed_mean,176,190,0.112685,0.045151,0.180218
