virtual,pass,physical,known_identity,fit1,fit2,fit3,fit4,fit5,fit_mean,fit_sd,crossed_fit_item_pointwise_low,crossed_fit_item_pointwise_high,crossed_fit_item_simultaneous_low,crossed_fit_item_simultaneous_high,in_selected_band_26_37,in_final_third_33_48
0,1,1,False,-0.005788,-0.006271,-0.005788,-0.005788,-0.005788,-0.005884,0.00021604521521737083,-0.039700672539547226,0.018119115278961817,-0.23645698733799447,0.22468849250044592,0,0
1,1,2,False,-0.021893,-0.021893,-0.021893,-0.022537,-0.021893,-0.022022,0.00028806028695649343,-0.06842379463862841,0.014411776546367315,-0.2525946211354748,0.20855085870296558,0,0
2,1,3,False,-0.007244,-0.007244,-0.007244,-0.007244,-0.007244,-0.007244,0.0,-0.031078904991948472,0.006119162640901772,-0.23781674863381716,0.22332873120462324,0,0
3,1,4,False,0.000644,0.000644,-0.000322,0.000644,0.000644,0.000451,0.000432090430434742,-0.0005797101449275362,0.0019323671497584543,-0.23012185425094323,0.23102362558749717,0,0
4,1,5,False,-0.006436,-0.006436,-0.006436,-0.006598,-0.006436,-0.006469,7.201507173912336e-05,-0.029952318366960308,0.006602254428341384,-0.23704143367691652,0.22410404616152388,0,0
5,1,6,False,0.004523,0.004523,0.004523,0.004523,0.004201,0.004459,0.0001440301434782475,0.0030714924948997556,0.005843586839884125,-0.22611401620332963,0.23503146363511077,0,0
6,1,7,False,0.000161,0.000161,-0.000322,0.000000,-0.001127,-0.000225,0.0005413119585820164,-0.0009661835748792271,0.00035426731078904995,-0.23079818275335867,0.23034729708508173,0,0
7,1,8,False,0.000000,0.000000,0.010789,-0.000483,-0.002254,0.001610,0.0052142592137494935,-0.0015458937198067637,0.012657004830917876,-0.22896243396108815,0.23218304587735225,0,0
8,1,9,False,-0.011111,-0.011111,-0.011111,-0.011111,-0.011594,-0.011208,0.00021604521521737083,-0.03352657004830918,0.0,-0.24178046938781922,0.21936501045062118,0,0
9,1,10,False,0.000805,0.000644,0.000644,0.000161,-0.004670,-0.000483,0.0023529209655720547,-0.0029307568438003222,0.0011272141706924314,-0.2310558317066598,0.2300896481317806,0,0
10,1,11,False,0.000485,-0.000803,0.000485,-0.002415,-0.001447,-0.000739,0.0012564155039836615,-0.002155441886899687,0.00048545988443686656,-0.23131158618236314,0.22983389365607726,0,0
11,1,12,False,0.000161,-0.000805,0.000000,0.000000,-0.003382,-0.000805,0.0014889888896060328,-0.002415458937198068,0.00022544283413848632,-0.23137789289828622,0.22976758694015417,0,0
12,1,13,False,0.000322,0.000322,0.000322,0.000000,-0.003221,-0.000451,0.001554591740566463,-0.0022222222222222222,0.0006119162640901771,-0.23102362558749717,0.23012185425094323,0,0
13,1,14,False,0.000805,0.000805,0.000644,0.000481,-0.002254,0.000096,0.0013208671057004934,-0.0016103059581320453,0.001416595623756749,-0.23047659518113173,0.23066888465730867,0,0
14,1,15,False,0.000644,0.000644,0.000644,-0.000646,0.000322,0.000322,0.0005588518258388162,-0.0005152979066022544,0.0011272141706924316,-0.23025115234699323,0.23089432749144717,0,0
15,1,16,False,-0.010467,-0.010467,-0.010467,-0.003384,-0.000644,-0.007086,0.004730110116347467,-0.03307570806100218,0.012044141328028795,-0.23765855975440064,0.22348692008403975,0,0
16,1,17,False,-0.096618,-0.096618,-0.096618,-0.097262,-0.096779,-0.096779,0.0002789131735215572,-0.16215780998389692,-0.04177053140096619,-0.3273521280029561,0.1337933518354843,0,0
17,1,18,False,-0.063929,-0.063929,-0.065056,-0.064090,-0.064573,-0.064316,0.0004910773166498213,-0.11935668276972627,-0.019742351046698872,-0.29488835988701406,0.16625711995142634,0,0
18,1,19,False,-0.095813,-0.095813,-0.095974,-0.095974,-0.095813,-0.095878,8.82000897753849e-05,-0.1617399355877617,-0.04074074074074074,-0.32645035666640215,0.13469512317203824,0,0
19,1,20,False,-0.129791,-0.129791,-0.129791,-0.130113,-0.133011,-0.130499,0.0014112014364062201,-0.20692431561996782,-0.06428260869565218,-0.36107193476624116,0.10007354507219923,0,0
20,1,21,False,-0.151208,-0.151208,-0.151208,-0.151208,-0.152013,-0.151369,0.0003600753586956075,-0.2286634460547503,-0.08454025764895334,-0.38194149998363247,0.07920397985480793,0,0
21,1,22,False,-0.106763,-0.106924,-0.106763,-0.106924,-0.101291,-0.105733,0.002484765764247213,-0.1737850359950744,-0.04495896087903761,-0.33630590274956973,0.12483957708887067,0,0
22,1,23,False,-0.109179,-0.110628,-0.109179,-0.109179,-0.109340,-0.109501,0.0006339780896949814,-0.17636151368760067,-0.053462157809983896,-0.3400735450721993,0.12107193476624112,0,0
23,1,24,False,-0.065539,-0.069887,-0.065539,-0.065539,-0.066828,-0.066667,0.001884814800437938,-0.12238405797101451,-0.021256038647342997,-0.2972394065858869,0.16390607325255352,0,0
