item,intermediate,target,target_equals_own_intermediate,names_coinciding_with_target_or_its_tokens
confirmation-001,Venus,carbon dioxide,False,[]
confirmation-002,Venus,retrograde,False,[]
confirmation-003,Uranus,1977,False,[]
confirmation-004,Uranus,ice giant,False,[]
confirmation-005,Neptune,1989,False,[]
confirmation-006,Neptune,methane,False,[]
confirmation-007,Pluto,Kuiper belt,False,[]
confirmation-008,Pluto,Tombaugh,False,[]
confirmation-009,Ceres,salts,False,[]
confirmation-010,Ceres,Dawn,False,[]
confirmation-011,Titan,methane,False,[]
confirmation-012,Titan,Saturn,False,[]
confirmation-013,Europa,water,False,[]
confirmation-014,Europa,ice,False,[]
confirmation-015,Io,volcanoes,False,[]
confirmation-016,Io,Jupiter,False,[]
confirmation-017,helium,2,False,[]
confirmation-018,helium,noble gases,False,[]
confirmation-019,lithium,3,False,[]
confirmation-020,lithium,Li,False,[]
confirmation-021,boron,solid,False,[]
confirmation-022,boron,5,False,[]
confirmation-023,cobalt,Co,False,[]
confirmation-024,cobalt,27,False,[]
confirmation-025,nickel,Ni,False,[]
confirmation-026,nickel,28,False,[]
confirmation-027,tungsten,W,False,[]
confirmation-028,tungsten,74,False,[]
confirmation-029,radon,Rn,False,[]
confirmation-030,radon,86,False,[]
confirmation-031,neon,Ne,False,[]
confirmation-032,neon,orange-red,False,[]
confirmation-033,Japan,yen,False,[]
confirmation-034,Japan,Tokyo,False,[]
confirmation-035,Kenya,shilling,False,[]
confirmation-036,Kenya,equator,False,[]
confirmation-037,Chile,peso,False,[]
confirmation-038,Chile,Santiago,False,[]
confirmation-039,Norway,krone,False,[]
confirmation-040,Norway,17,False,[]
confirmation-041,Egypt,pound,False,[]
confirmation-042,Egypt,Cairo,False,[]
confirmation-043,Peru,sol,False,[]
confirmation-044,Peru,Lima,False,[]
confirmation-045,Thailand,baht,False,[]
confirmation-046,Thailand,Bangkok,False,[]
confirmation-047,Sweden,krona,False,[]
confirmation-048,Sweden,Stockholm,False,[]
confirmation-049,Everest,Himalayas,False,[]
confirmation-050,Everest,China,False,[]
confirmation-051,Sahara,Africa,False,[]
confirmation-052,Sahara,Atlantic,False,[]
confirmation-053,Andes,South America,False,[]
confirmation-054,Andes,Aconcagua,False,[]
confirmation-055,Nile,Mediterranean Sea,False,[]
confirmation-056,Nile,Khartoum,False,[]
confirmation-057,Danube,Black Sea,False,[]
confirmation-058,Danube,Germany,False,[]
confirmation-059,Alps,Europe,False,[]
confirmation-060,Alps,Mont Blanc,False,[]
confirmation-061,Mekong,Vietnam,False,[]
confirmation-062,Mekong,Tibetan Plateau,False,[]
confirmation-063,Borneo,3,False,[]
confirmation-064,Borneo,Kinabalu,False,[]
confirmation-065,DNA,deoxyribose,False,[]
confirmation-066,DNA,adenine,False,[]
confirmation-067,RNA,ribose,False,[]
confirmation-068,RNA,uracil,False,[]
confirmation-069,insulin,pancreas,False,[]
confirmation-070,insulin,beta cells,False,[]
confirmation-071,hemoglobin,iron,False,[]
confirmation-072,hemoglobin,4,False,[]
confirmation-073,neuron,synapse,False,[]
confirmation-074,neuron,myelin,False,[]
confirmation-075,nucleus,nucleolus,False,[]
confirmation-076,nucleus,2,False,[]
confirmation-077,chlorophyll,magnesium,False,[]
confirmation-078,chlorophyll,chloroplasts,False,[]
confirmation-079,collagen,triple helix,False,[]
confirmation-080,collagen,glycine,False,[]
confirmation-081,Napoleon,Saint Helena,False,[]
confirmation-082,Napoleon,Corsica,False,[]
confirmation-083,Darwin,Beagle,False,[]
confirmation-084,Darwin,Shrewsbury,False,[]
confirmation-085,Einstein,Ulm,False,[]
confirmation-086,Einstein,1921,False,[]
confirmation-087,Galileo,Pisa,False,[]
confirmation-088,Galileo,1633,False,[]
confirmation-089,Cleopatra,Ptolemaic dynasty,False,[]
confirmation-090,Cleopatra,30 BCE,False,[]
confirmation-091,Gutenberg,Mainz,False,[]
confirmation-092,Gutenberg,goldsmith,False,[]
confirmation-093,Confucius,China,False,[]
confirmation-094,Confucius,Analects,False,[]
confirmation-095,Shakespeare,Stratford-upon-Avon,False,[]
confirmation-096,Shakespeare,1564,False,[]
confirmation-097,Beethoven,Bonn,False,[]
confirmation-098,Beethoven,Vienna,False,[]
confirmation-099,Mozart,Salzburg,False,[]
confirmation-100,Mozart,1756,False,[]
confirmation-101,Picasso,Malaga,False,[]
confirmation-102,Picasso,Cubism,False,[]
confirmation-103,Monet,Giverny,False,[]
confirmation-104,Monet,Impressionism,False,[]
confirmation-105,Tolkien,Oxford,False,[]
confirmation-106,Tolkien,Bloemfontein,False,[]
confirmation-107,Bach,Eisenach,False,[]
confirmation-108,Bach,Baroque,False,[]
confirmation-109,Chopin,piano,False,[]
