index,name,task,concept_cluster,name_prefix_cluster
0,carnival-ocean,multihop,multihop:Brazil,multihop:carnival
1,amazon-language,multihop,multihop:Brazil,multihop:amazon
2,mars-color,multihop,multihop:Mars,multihop:mars
3,spider-legs,multihop,multihop:spider,multihop:spider
4,basketball-players,multihop,multihop:basketball,multihop:basketball
5,paper-continent,multihop,multihop:China,multihop:paper
6,christmas-season,multihop,multihop:Christmas,multihop:christmas
7,osu-rival-mascot,multihop,multihop:Michigan,multihop:osu
8,topeka-west,multihop,multihop:Kansas,multihop:topeka
9,atomic-79-symbol,multihop,multihop:gold,multihop:atomic
10,atomic-26-symbol,multihop,multihop:iron,multihop:atomic
11,atomic-29-symbol,multihop,multihop:copper,multihop:atomic
12,atomic-80-state,multihop,multihop:mercury,multihop:atomic
13,atomic-29-flame,multihop,multihop:copper,multihop:atomic
14,planet-3-moons,multihop,multihop:Earth,multihop:planet
15,month-3-godof,multihop,multihop:March,multihop:month
16,spaceneedle-border,multihop,multihop:Seattle,multihop:spaceneedle
17,rhyme-rain-neighbor,multihop,multihop:Spain,multihop:rhyme
18,rhyme-door-doubled,multihop,multihop:4,multihop:rhyme
19,rhyme-chair-flag,multihop,multihop:bear,multihop:rhyme
20,rhyme-spoon-orbit,multihop,multihop:moon,multihop:rhyme
21,etym-wargod-month,multihop,multihop:March,multihop:etym
22,etym-frigg-position,multihop,multihop:Friday,multihop:etym
23,etym-saturn-position,multihop,multihop:Saturn,multihop:etym
24,chem-photosynthesis-Z,multihop,multihop:oxygen,multihop:chem
25,chem-atmosphere-Z,multihop,multihop:nitrogen,multihop:chem
26,chem-organic-Z,multihop,multihop:carbon,multihop:chem
27,chem-bones-Z,multihop,multihop:calcium,multihop:chem
28,func-pumps-chambers,multihop,multihop:heart,multihop:func
29,func-filters-count,multihop,multihop:kidney,multihop:func
30,birthstone-emerald-month,multihop,multihop:May,multihop:birthstone
31,violin-strings,multihop,multihop:violin,multihop:violin
32,nhop-primary-planet,multihop,multihop:3,multihop:nhop
33,nhop-rings-planet,multihop,multihop:5,multihop:nhop
34,nhop-guitar-planet,multihop,multihop:6,multihop:nhop
35,nhop-compass-planet,multihop,multihop:4,multihop:nhop
36,nhop-volleyball-planet,multihop,multihop:6,multihop:nhop
38,nhop-fortnight-element,multihop,multihop:14,multihop:nhop
39,nhop-cube-element,multihop,multihop:6,multihop:nhop
40,nhop-rainbow-element,multihop,multihop:7,multihop:nhop
41,nhop-spider-element,multihop,multihop:8,multihop:nhop
42,nhop-insect-element,multihop,multihop:6,multihop:nhop
43,nhop-week-element,multihop,multihop:7,multihop:nhop
44,super-largest-country-capital,multihop,multihop:Russia,multihop:super
45,super-smallest-continent,multihop,multihop:Vatican,multihop:super
46,super-populous-capital,multihop,multihop:China,multihop:super
47,super-largest-island-nation,multihop,multihop:Indonesia,multihop:super
48,colosseum-currency,multihop,multihop:Italy,multihop:colosseum
49,greatwall-ocean,multihop,multihop:China,multihop:greatwall
50,holiday-independence-monthnum,multihop,multihop:July,multihop:holiday
51,holiday-christmas-monthnum,multihop,multihop:December,multihop:holiday
52,holiday-halloween-monthnum,multihop,multihop:October,multihop:holiday
53,holiday-valentines-monthnum,multihop,multihop:February,multihop:holiday
54,month-1-godof,multihop,multihop:January,multihop:month
55,etym-janus-monthnum,multihop,multihop:January,multihop:etym
56,month-7-namedafter,multihop,multihop:July,multihop:month
57,etym-caesar-monthnum,multihop,multihop:July,multihop:etym
58,nhop-soccer-element,multihop,multihop:11,multihop:nhop
59,nhop-chess-element,multihop,multihop:16,multihop:nhop
60,nhop-suit-element,multihop,multihop:13,multihop:nhop
61,nhop-clock-element,multihop,multihop:12,multihop:nhop
63,inv-sunrise-opposite,multihop,multihop:east,multihop:inv
64,inv-balloon-opposite,multihop,multihop:up,multihop:inv
65,inv-roots-opposite,multihop,multihop:down,multihop:inv
66,inv-antarctica-opposite,multihop,multihop:south,multihop:inv
67,rhyme-tree-squared,multihop,multihop:3,multihop:rhyme
68,rhyme-hive-plusone,multihop,multihop:5,multihop:rhyme
69,rhyme-fix-halved,multihop,multihop:6,multihop:rhyme
