task,loop,layers,n_items,item_difference,item_ci_low,item_ci_high,cluster_difference,cluster_ci_low,cluster_ci_high
multihop,1,1-16,90,-0.0035719783082315054,-0.010202242883868525,0.0018643139622998807,-0.0035719783082315054,-0.01010669516300496,0.0019189967899967135
multihop,2,1-16,90,-0.03349373214207452,-0.05080676895122638,-0.018232811315951506,-0.03349373214207452,-0.04937061364363355,-0.019324825730428243
multihop,3,1-16,90,-0.06786475806884874,-0.0994986137796383,-0.038362429723628966,-0.06786475806884874,-0.1030762702199903,-0.036297553994205624
multihop,4,1-16,90,-0.016258892292586518,-0.06970883590227675,0.03905009869353497,-0.016258892292586518,-0.07131057247130569,0.03803204037570705
multihop,1,17-32,90,-0.07078242366598379,-0.11228134705442311,-0.03460317846111515,-0.07078242366598379,-0.11869859003175752,-0.029611834532099757
multihop,2,17-32,90,-0.11373388677880847,-0.1626433761786584,-0.07012448690495385,-0.11373388677880847,-0.166905462472514,-0.06495409597230552
multihop,3,17-32,90,-0.15436759262793728,-0.21520403574536384,-0.09514540689915031,-0.15436759262793728,-0.2334696226064175,-0.08518399777234839
multihop,4,17-32,90,0.061708512177673716,-0.012827371130017022,0.13773140007814721,0.061708512177673716,-0.01523605917596634,0.1364781042552204
multihop,1,33-48,90,-0.08452658692541838,-0.12159486362412153,-0.04957575895741526,-0.08452658692541838,-0.11998151101183999,-0.05028437884694387
multihop,2,33-48,90,-0.1573246653914288,-0.20218228372514738,-0.11463397327620212,-0.1573246653914288,-0.20989849816514347,-0.10880377173733437
multihop,3,33-48,90,-0.17195597477941352,-0.22593006335808172,-0.11942499815986495,-0.17195597477941352,-0.23745883191901854,-0.11337367802740755
multihop,4,33-48,90,0.05629511534046163,0.014282084941960416,0.10189927978703738,0.05629511534046163,0.01230383080926426,0.10287545402753086
order-ops,1,1-16,51,0.0008484162895927591,-0.008295625942684763,0.008201357466063345,0.0008484162895927591,-0.009482013326585692,0.009936079545454533
order-ops,2,1-16,51,-0.09455128205128209,-0.1575249811463047,-0.034502262443438916,-0.09455128205128209,-0.22180660970385543,0.0072115384615384585
order-ops,3,1-16,51,0.09775641025641023,0.014043646304675698,0.186748208898944,0.09775641025641023,0.03038746630727762,0.16950113839648706
order-ops,4,1-16,51,0.009144042232277525,-0.06005137631975868,0.08173076923076923,0.009144042232277525,-0.07164386753659742,0.10737284919028328
order-ops,1,17-32,51,-0.3625565610859729,-0.46257541478129716,-0.2619720965309201,-0.3625565610859729,-0.5165264423076923,-0.24916962099571532
order-ops,2,17-32,51,0.04176093514328807,-0.03912141779788839,0.12565987933634987,0.04176093514328807,-0.08026147959183672,0.14706638369575314
order-ops,3,17-32,51,0.08625565610859728,0.005182409502262434,0.1732654600301659,0.08625565610859728,-0.029647744082840235,0.20103819444444396
order-ops,4,17-32,51,0.04251508295625942,-0.032051282051282055,0.11934624811463028,0.04251508295625942,-0.016673786945219992,0.08726738539238534
order-ops,1,33-48,51,-0.34078054298642535,-0.4477776206636501,-0.2355745663650077,-0.34078054298642535,-0.5451711550548758,-0.18015708556149732
order-ops,2,33-48,51,0.06174585218702863,-0.019325037707390656,0.14658748114630465,0.06174585218702863,-0.02818430491921871,0.14648778181144242
order-ops,3,33-48,51,-0.08795248868778274,-0.15507400075414782,-0.024601715686274703,-0.08795248868778274,-0.16131129911395764,-0.022376217532467647
order-ops,4,33-48,51,-0.10143288084464555,-0.16251885369532432,-0.04430618401206636,-0.10143288084464555,-0.17067307692307687,-0.04807692307692308
