task,loop,physical_layer,virtual_index_zero_based,n_items,n_slots,n_concept_clusters,jlens_exit3_hit,jlens_exit3_hit_ci_low,jlens_exit3_hit_ci_high,jlens_exit3_control,jlens_exit3_control_ci_low,jlens_exit3_control_ci_high,jlens_exit3_excess,jlens_exit3_excess_ci_low,jlens_exit3_excess_ci_high,logitlens_hit,logitlens_hit_ci_low,logitlens_hit_ci_high,logitlens_control,logitlens_control_ci_low,logitlens_control_ci_high,logitlens_excess,logitlens_excess_ci_low,logitlens_excess_ci_high,difference,ci_low,ci_high,sim_low,sim_high,cluster_ci_low,cluster_ci_high,cluster_sim_low,cluster_sim_high
multihop,1,1,0,90,100,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.05555555555555556,0.01643459316093587,0.011272141706924315,0.021919105806573837,0.005787629061286352,-0.01805437150705693,0.04024817656531212,-0.005787629061286352,-0.04024817656531212,0.01805437150705693,-0.2365568598305172,0.22498160170794448,-0.041007992739606994,0.0184783369869687,-0.33882410239187727,0.3272488442693046
multihop,1,2,1,90,100,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.011111111111111112,0.08888888888888889,0.022551387704840394,0.014975845410628023,0.030771229989580363,0.021893056739604056,-0.01451063275551766,0.06778677654636735,-0.021893056739604056,-0.06778677654636735,0.014510632755517342,-0.2526622875088349,0.20887617402962677,-0.06870684988971434,0.014492753623188406,-0.354929530070195,0.3111434165909869
multihop,1,3,2,90,100,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.003867102396514162,0.0017713365539452496,0.006933788007956807,0.007244008714596952,-0.006123898834896279,0.031237567490764423,-0.007244008714596952,-0.031237567490764423,0.006123898834896279,-0.2380132394838278,0.22352522205463388,-0.03340149553989145,0.006213522198176929,-0.3402804820451879,0.325792464615994
multihop,1,4,3,90,100,64,0.0,0.0,0.0,0.00016103059581320451,0.0,0.0004830917874396135,-0.00016103059581320451,-0.0004830917874396135,0.0,0.0,0.0,0.0,0.0006441223832528181,0.0,0.001932367149758454,-0.0006441223832528181,-0.001932367149758454,0.0,0.0004830917874396135,-0.0004830917874396135,0.001932367149758454,-0.23028613898179123,0.23125232255667044,-0.0004576659038901602,0.0020460358056265983,-0.33255338154315134,0.33351956511803055
multihop,1,5,4,90,100,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.0045135928767642336,0.0025788576300085253,0.007090082409775505,0.006597518234346877,-0.006445960026522687,0.03026901581888794,-0.006597518234346877,-0.03026901581888794,0.006445960026522687,-0.2373667490035777,0.22417171253488397,-0.033073206986250464,0.006399536099024578,-0.33963399156493784,0.32643895509624404
multihop,1,6,5,90,100,64,0.0,0.0,0.0,0.003059581320450886,0.001610305958132045,0.004830917874396135,-0.003059581320450886,-0.004830917874396135,-0.001610305958132045,0.0,0.0,0.0,0.00452313595421585,0.0032206119162640906,0.005974708724069339,-0.00452313595421585,-0.005974708724069339,-0.0032206119162640906,0.001463554633764963,-0.0004689388734078967,0.0032444342651618296,-0.22930567613546587,0.2322327854029958,-0.0006849808926382578,0.0034671646011415654,-0.331572918696826,0.3345000279643559
multihop,1,7,6,90,100,64,0.0,0.0,0.0,0.00032206119162640903,0.0,0.0008051529790660225,-0.00032206119162640903,-0.0008051529790660225,0.0,0.0,0.0,0.0,0.00016103059581320451,0.0,0.0004830917874396135,-0.00016103059581320451,-0.0004830917874396135,0.0,-0.00016103059581320451,-0.0008051529790660225,0.00032206119162640903,-0.23093026136504405,0.23060820017341763,-0.0006984459577440196,0.00036231884057971015,-0.3331975039264041,0.33287544273477776
multihop,1,8,7,90,100,64,0.0,0.0,0.0,0.0006441223832528181,0.00016103059581320451,0.0012882447665056361,-0.0006441223832528181,-0.0012882447665056361,-0.00016103059581320451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006441223832528181,-0.0012882447665056361,-0.00016103059581320451,-0.23141335315248365,0.23012510838597802,-0.001302719426803452,-0.0001509272747646829,-0.3336805957138438,0.3323923509473381
multihop,1,9,8,90,100,64,0.0,0.0,0.0,0.0004830917874396135,0.0,0.0011272141706924316,-0.0004830917874396135,-0.0011272141706924316,0.0,0.011111111111111112,0.0,0.03333333333333333,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,-0.011594202898550725,-0.03413848631239935,-0.00016103059581320451,-0.24236343366778157,0.2191750278706801,-0.03284099914124384,-0.0001575299306868305,-0.3446306762291417,0.3214422704320402
multihop,1,10,9,90,100,64,0.0,0.0,0.0,0.0004830917874396135,0.0,0.0011272141706924316,-0.0004830917874396135,-0.0011272141706924316,0.0,0.0,0.0,0.0,0.0008051529790660225,0.00016103059581320451,0.001610305958132045,-0.0008051529790660225,-0.001610305958132045,-0.00016103059581320451,0.000322061191626409,-0.000644122383252818,0.0012882447665056361,-0.23044716957760442,0.23109129196085726,-0.000564652738565782,0.0012466884837151317,-0.3327144121389645,0.33335853452221736
multihop,1,11,10,90,100,64,0.0,0.0,0.0,0.0004830917874396135,0.0,0.0011272141706924316,-0.0004830917874396135,-0.0011272141706924316,0.0,0.0,0.0,0.0,0.00048545988443686656,0.0,0.0011319503646869376,-0.00048545988443686656,-0.0011319503646869376,0.0,2.368096997252984e-06,-0.0008051529790660225,0.0008098891730605285,-0.2307668626722336,0.23077159886622808,-0.0008027848820687696,0.0007592710997442455,-0.33303410523359367,0.3330388414275882
multihop,1,12,11,90,100,64,0.0,0.0,0.0,0.0011272141706924314,0.00032206119162640903,0.0020933977455716585,-0.0011272141706924314,-0.0020933977455716585,-0.00032206119162640903,0.0,0.0,0.0,0.00016103059581320451,0.0,0.0004830917874396135,-0.00016103059581320451,-0.0004830917874396135,0.0,-0.000966183574879227,-0.0019323671497584545,-0.0001610305958132044,-0.23173541434411007,0.2298030471943516,-0.0020438498699368265,-0.00012937095769435363,-0.33400265690547015,0.33207028975571173
multihop,1,13,12,90,100,64,0.0,0.0,0.0,0.005003859644658211,0.0033887468030690546,0.00677519619860346,-0.005003859644658211,-0.00677519619860346,-0.0033887468030690546,0.0,0.0,0.0,0.00032206119162640903,0.0,0.0008051529790660225,-0.00032206119162640903,-0.0008051529790660225,0.0,-0.004681798453031801,-0.006462748773891272,-0.0029081644915519033,-0.23545102922226263,0.22608743231619904,-0.006484140539934184,-0.003028179101454063,-0.33771827178362274,0.32835467487755915
multihop,1,14,13,90,100,64,0.011111111111111112,0.0,0.03333333333333333,0.005643175144453918,0.003876574784503174,0.007431088377379938,0.005467935966657205,-0.007094818603770013,0.028978402955385067,0.0,0.0,0.0,0.0008051529790660225,0.00016103059581320451,0.0017713365539452496,-0.0008051529790660225,-0.0017713365539452496,-0.00016103059581320451,0.006273088945723227,-0.0064506962205171945,0.02993304205740266,-0.2244961418235076,0.23704231971495407,-0.006406421971130625,0.03223845108695654,-0.32676338438486774,0.33930956227631415
multihop,1,15,14,90,100,64,0.011111111111111112,0.0,0.03333333333333333,0.0045135928767642336,0.0029009188216349343,0.006284929430709482,0.00659751823434688,-0.005958132045088568,0.02994458653026428,0.0,0.0,0.0,0.0006441223832528181,0.00016103059581320451,0.0012882447665056361,-0.0006441223832528181,-0.0012882447665056361,-0.00016103059581320451,0.0072416406175996985,-0.005316377758833003,0.03059107701051435,-0.22352759015163115,0.23801087138683052,-0.0051577152600170515,0.033453448475471756,-0.32579483271299126,0.34027811394819063
multihop,1,16,15,90,100,64,0.0,0.0,0.0,0.002900918821634934,0.0014516434593160935,0.004513592876764232,-0.002900918821634934,-0.004513592876764232,-0.0014516434593160935,0.011111111111111112,0.0,0.03333333333333333,0.0006441223832528181,0.00016103059581320451,0.0012882447665056361,0.010466988727858294,-0.000966183574879227,0.03268921095008052,-0.013367907549493225,-0.036236620251965515,-0.0012882447665056361,-0.24413713831872405,0.21740132321973762,-0.039311794011082694,-0.0011366273562565176,-0.3464043808800842,0.3196685657810977
multihop,1,17,16,90,100,64,0.0,0.0,0.0,0.0014564503427732041,0.0006441223832528181,0.0024273701116469377,-0.0014564503427732041,-0.0024273701116469377,-0.0006441223832528181,0.1,0.044444444444444446,0.16666666666666666,0.003381642512077295,0.001610305958132045,0.005475040257648954,0.0966183574879227,0.04154589371980677,0.16199677938808374,-0.09807480783069589,-0.16328508335701433,-0.04300471215957723,-0.3288440385999267,0.13269442293853495,-0.16634786049987219,-0.038092424736305454,-0.43111128116128683,0.23496166549989506
multihop,1,18,17,90,100,64,0.0,0.0,0.0,0.000966183574879227,0.00032206119162640903,0.0017713365539452496,-0.000966183574879227,-0.0017713365539452496,-0.00032206119162640903,0.06666666666666667,0.022222222222222223,0.12222222222222223,0.002737520128824476,0.0009661835748792271,0.004830917874396135,0.0639291465378422,0.019484702093397744,0.11916264090177134,-0.06489533011272142,-0.11996779388083738,-0.02045088566827697,-0.29566456088195225,0.16587390065650942,-0.12341776480180962,-0.012658227848101266,-0.39793180344331236,0.2681411432178695
multihop,1,19,18,90,100,64,0.0,0.0,0.0,0.00016103059581320451,0.0,0.0004830917874396135,-0.00016103059581320451,-0.0004830917874396135,0.0,0.1,0.044444444444444446,0.16666666666666666,0.004186795491143317,0.0020933977455716585,0.006441223832528182,0.09581320450885668,0.04090177133655395,0.16119162640901774,-0.09597423510466987,-0.16135265700483092,-0.04106280193236715,-0.3267434658739007,0.13479499566456096,-0.1689698943278019,-0.03103284583748336,-0.4290107084352608,0.23706223822592107
multihop,1,20,19,90,100,64,0.0,0.0,0.0,0.0019323671497584543,0.000966183574879227,0.0030595813204508855,-0.0019323671497584543,-0.0030595813204508855,-0.000966183574879227,0.13333333333333333,0.06666666666666667,0.21111111111111108,0.003381642512077295,0.001610305958132045,0.005314009661835749,0.12995169082125604,0.0639291465378422,0.20628019323671498,-0.1318840579710145,-0.20789049919484706,-0.06570048309178746,-0.3626532887402453,0.09888517279821635,-0.2154158686823411,-0.05935127674258109,-0.46492053130160543,0.20115241535957645
multihop,1,21,20,90,100,64,0.0,0.0,0.0,0.000966183574879227,0.00032206119162640903,0.0017713365539452496,-0.000966183574879227,-0.0017713365539452496,-0.00032206119162640903,0.15555555555555556,0.08888888888888889,0.23333333333333334,0.004347826086956522,0.0020933977455716585,0.006763285024154591,0.15120772946859906,0.08405797101449275,0.22834138486312397,-0.1521739130434783,-0.22946859903381644,-0.08454106280193238,-0.3829431438127091,0.07859531772575254,-0.24126882637112815,-0.07532984208176031,-0.4852103863740692,0.18086256028711264
multihop,1,22,21,90,100,64,0.0,0.0,0.0,0.0017737046509425027,0.0008075210760632755,0.002746992516813489,-0.0017737046509425027,-0.002746992516813489,-0.0008075210760632755,0.1111111111111111,0.05555555555555555,0.17777777777777778,0.004347826086956523,0.002093397745571659,0.006763285024154591,0.1067632850241546,0.048780193236714994,0.17391304347826086,-0.10853698967509712,-0.1755343018850052,-0.050401037226485146,-0.33930622044432796,0.12223224109413372,-0.18663211480244274,-0.04209255172382187,-0.44157346300568806,0.22449948365549383
multihop,1,23,22,90,100,64,0.0,0.0,0.0,0.0004830917874396135,0.0,0.0011272141706924316,-0.0004830917874396135,-0.0011272141706924316,0.0,0.1111111111111111,0.05555555555555555,0.17777777777777778,0.001932367149758454,0.000966183574879227,0.003059581320450886,0.10917874396135269,0.05264895330112723,0.17600644122383252,-0.10966183574879229,-0.17648953301127215,-0.0531199677938826,-0.34043106651802313,0.12110739502043855,-0.18840945688771776,-0.04237195188053503,-0.44269830907938323,0.22337463758179865
multihop,1,24,23,90,100,64,0.0,0.0,0.0,0.0004830917874396135,0.0,0.0011272141706924316,-0.0004830917874396135,-0.0011272141706924316,0.0,0.06666666666666667,0.022222222222222223,0.12222222222222223,0.0011272141706924316,0.00032206119162640903,0.0020933977455716585,0.06553945249597425,0.02077294685990338,0.12125603864734301,-0.06602254428341385,-0.12173913043478263,-0.021095008051529793,-0.2967917750526447,0.16474668648581697,-0.12774033876184124,-0.012165283977795571,-0.3990590176140048,0.2670139290471771
multihop,1,25,24,90,100,64,0.0,0.0,0.0,0.0019371033437529603,0.0009685516718764801,0.0030643175144453917,-0.0019371033437529603,-0.0030643175144453917,-0.0009685516718764801,0.1,0.044444444444444446,0.16666666666666666,0.0030619494174481386,0.001610305958132045,0.00483328597139339,0.09693805058255187,0.04105806573837265,0.16343895045941081,-0.0988751539263048,-0.16521739130434784,-0.0428341384863124,-0.32964438469553564,0.13189407684292603,-0.1737621711335812,-0.03325028262722859,-0.43191162725689575,0.23416131940428614
multihop,1,26,25,90,100,64,0.0,0.0,0.0,0.002742256322818983,0.001453893151463484,0.004191531685137823,-0.002742256322818983,-0.004191531685137823,-0.0014538931514634942,0.08888888888888889,0.03333333333333333,0.15555555555555556,0.006609358719333144,0.004350194183953775,0.009183480155347163,0.08227953016955573,0.027209375296012125,0.14733115468409586,-0.08502178649237473,-0.14959517381831963,-0.03011272141706924,-0.3157910172616056,0.1457474442768561,-0.1580224633097746,-0.021299755812147728,-0.4180582598229657,0.2480146868382162
multihop,1,27,26,90,100,64,0.022222222222222223,0.0,0.05555555555555556,0.007573174197215117,0.0056360708534621586,0.009671308136781282,0.01464904802500711,-0.008539357772094348,0.048626503741593274,0.07777777777777778,0.022222222222222223,0.13333333333333333,0.007092450506772754,0.003871838590508668,0.010642405512929795,0.07068532727100502,0.017713187932177705,0.12737520128824475,-0.05603627924599793,-0.12254990764421712,0.00806342947807142,-0.28680551001522875,0.1747329515232329,-0.13345910973084887,0.01498732339948298,-0.38907275257658885,0.27700019408459303
multihop,1,28,27,90,100,64,0.011111111111111112,0.0,0.03333333333333333,0.006282561333712229,0.004350194183953776,0.008217296580467937,0.004828549777398888,-0.00772946859903382,0.028177986170313554,0.044444444444444446,0.011111111111111112,0.08888888888888889,0.006121530737899023,0.0032229800132613433,0.009500805152979066,0.03832291370654542,0.0033769063180827882,0.08340911243724543,-0.033494363929146544,-0.08599033816425121,0.011433172302737521,-0.2642635946983774,0.1972748668400843,-0.08163265306122447,0.012681159420289845,-0.3665308372597375,0.2995421094014444
multihop,1,29,28,90,100,64,0.0,0.0,0.0,0.004347826086956523,0.002737520128824477,0.006119162640901773,-0.004347826086956523,-0.006119162640901773,-0.002737520128824477,0.022222222222222223,0.0,0.05555555555555556,0.007573174197215116,0.004191531685137824,0.011435540399734772,0.014649048025007104,-0.008861418963720755,0.04846784124277731,-0.01899687411196363,-0.05314157667898078,0.0048380221653878935,-0.24976610488119447,0.2117723566572672,-0.05352453563770699,0.004777218212515448,-0.35203334744255455,0.31403959921862734
multihop,1,30,29,90,100,64,0.0,0.0,0.0,0.0017713365539452498,0.0006441223832528181,0.003059581320450886,-0.0017713365539452498,-0.003059581320450886,-0.0006441223832528181,0.011111111111111112,0.0,0.03333333333333333,0.005477408354646207,0.0027398882258217296,0.00870038836790755,0.005633702756464909,-0.008051529790660227,0.029788292128445578,-0.007405039310410158,-0.031561996779388084,0.006284929430709483,-0.23817427007964098,0.2233641914588207,-0.03387259858442872,0.006288645631117817,-0.3404415126410011,0.3256314340201808
multihop,1,31,30,90,100,64,0.0,0.0,0.0,0.0014492753623188406,0.0006441223832528181,0.0024154589371980675,-0.0014492753623188406,-0.0024154589371980675,-0.0006441223832528181,0.011111111111111112,0.0,0.03333333333333333,0.0040305010893246195,0.0017713365539452498,0.006768021218149096,0.007080610021786493,-0.005797101449275363,0.030259543430898928,-0.00852988538410533,-0.031879321777019985,0.0045088566827697265,-0.23929911615333616,0.22223934538512552,-0.034224100686634,0.004428828201087925,-0.34156635871469626,0.3245065879464856
multihop,1,32,31,90,100,64,0.0,0.0,0.0,0.00016103059581320451,0.0,0.0004830917874396135,-0.00016103059581320451,-0.0004830917874396135,0.0,0.0,0.0,0.0,0.0032253481102585964,0.0014492753623188406,0.005477408354646207,-0.0032253481102585964,-0.005477408354646207,-0.0014492753623188406,0.0030643175144453917,0.0011319503646869376,0.005318745855830256,-0.22770491325478545,0.23383354828367622,0.0011911852293031565,0.005409842012660752,-0.32997215581614553,0.33610079084503636
