model,seed,task,method_or_contrast,source_index,pass_one_based,physical_block_one_based,native_pass_end,ouro_identity_reference,within_pass_coda_intervention,own,control,excess
ouro,fixed,multihop,raw,0,1,1,False,False,False,0.022727272727272728,0.017310143497389085,0.0054171292298836405
ouro,fixed,multihop,raw,1,1,2,False,False,False,0.045454545454545456,0.023583014678672746,0.021871530775872706
ouro,fixed,multihop,raw,2,1,3,False,False,False,0.011363636363636364,0.003903519592122033,0.007460116771514328
ouro,fixed,multihop,raw,3,1,4,False,False,False,0.0,0.0006784260515603799,-0.0006784260515603799
ouro,fixed,multihop,raw,4,1,5,False,False,False,0.011363636363636364,0.004923728465112452,0.0064399078985239114
ouro,fixed,multihop,raw,5,1,6,False,False,False,0.0,0.004594873692567041,-0.004594873692567041
ouro,fixed,multihop,raw,6,1,7,False,False,False,0.0,0.00016960651289009497,-0.00016960651289009497
ouro,fixed,multihop,raw,7,1,8,False,False,False,0.0,0.0,0.0
ouro,fixed,multihop,raw,8,1,9,False,False,False,0.011363636363636364,0.0,0.011363636363636364
ouro,fixed,multihop,raw,9,1,10,False,False,False,0.0,0.0008480325644504748,-0.0008480325644504748
ouro,fixed,multihop,raw,10,1,11,False,False,False,0.0,0.000511389334320135,-0.000511389334320135
ouro,fixed,multihop,raw,11,1,12,False,False,False,0.0,0.00016960651289009497,-0.00016960651289009497
ouro,fixed,multihop,raw,12,1,13,False,False,False,0.0,0.00033921302578018993,-0.00033921302578018993
ouro,fixed,multihop,raw,13,1,14,False,False,False,0.0,0.0008480325644504748,-0.0008480325644504748
ouro,fixed,multihop,raw,14,1,15,False,False,False,0.0,0.0006784260515603799,-0.0006784260515603799
ouro,fixed,multihop,raw,15,1,16,False,False,False,0.011363636363636364,0.0006784260515603799,0.010685210312075982
ouro,fixed,multihop,raw,16,1,17,False,False,False,0.10227272727272728,0.003561736770691994,0.09871099050203527
ouro,fixed,multihop,raw,17,1,18,False,False,False,0.06818181818181818,0.002883310719131614,0.06529850746268658
ouro,fixed,multihop,raw,18,1,19,False,False,False,0.10227272727272728,0.004409769335142469,0.0978629579375848
ouro,fixed,multihop,raw,19,1,20,False,False,False,0.13636363636363635,0.003731343283582089,0.13263229308005425
ouro,fixed,multihop,raw,20,1,21,False,False,False,0.1590909090909091,0.004579375848032564,0.15451153324287648
ouro,fixed,multihop,raw,21,1,22,False,False,False,0.11363636363636363,0.004579375848032564,0.10905698778833105
ouro,fixed,multihop,raw,22,1,23,False,False,False,0.11363636363636363,0.002035278154681139,0.11160108548168247
ouro,fixed,multihop,raw,23,1,24,False,False,False,0.06818181818181818,0.0011872455902306649,0.06699457259158752
ouro,fixed,multihop,raw,24,1,25,False,False,False,0.10227272727272728,0.0035643065663418442,0.0987084207063854
ouro,fixed,multihop,raw,25,1,26,False,False,False,0.09090909090909091,0.006791969902553346,0.08411712100653755
ouro,fixed,multihop,raw,26,1,27,False,False,False,0.07954545454545454,0.00713118292833354,0.072414271617121
ouro,fixed,multihop,raw,27,1,28,False,False,False,0.045454545454545456,0.006278010772583364,0.03917653468196209
ouro,fixed,multihop,raw,28,1,29,False,False,False,0.022727272727272728,0.007976645697134164,0.014750627030138559
ouro,fixed,multihop,raw,29,1,30,False,False,False,0.011363636363636364,0.005599584721022983,0.0057640516426133775
ouro,fixed,multihop,raw,30,1,31,False,False,False,0.011363636363636364,0.004245302413552073,0.007118333950084288
ouro,fixed,multihop,raw,31,1,32,False,False,False,0.0,0.003397269849101599,-0.003397269849101599
ouro,fixed,multihop,raw,32,1,33,False,False,False,0.0,0.003908659183421734,-0.003908659183421734
ouro,fixed,multihop,raw,33,1,34,False,False,False,0.0,0.004594873692567042,-0.004594873692567042
ouro,fixed,multihop,raw,34,1,35,False,False,False,0.0,0.005612512769907612,-0.005612512769907612
ouro,fixed,multihop,raw,35,1,36,False,False,False,0.0,0.005432548003782737,-0.005432548003782737
ouro,fixed,multihop,raw,36,1,37,False,False,False,0.0,0.007632293080054272,-0.007632293080054272
ouro,fixed,multihop,raw,37,1,38,False,False,False,0.022727272727272728,0.011194029850746271,0.011533242876526456
ouro,fixed,multihop,raw,38,1,39,False,False,False,0.045454545454545456,0.009497964721845319,0.035956580732700145
ouro,fixed,multihop,raw,39,1,40,False,False,False,0.06818181818181818,0.010698059290325237,0.05748375889149295
ouro,fixed,multihop,raw,40,1,41,False,False,False,0.13636363636363635,0.018027274624967986,0.11833636173866835
ouro,fixed,multihop,raw,41,1,42,False,False,False,0.14772727272727273,0.01887016759811876,0.12885710512915402
ouro,fixed,multihop,raw,42,1,43,False,False,False,0.20454545454545456,0.01888052585135354,0.18566492869410098
ouro,fixed,multihop,raw,43,1,44,False,False,False,0.25,0.02311811887795606,0.2268818811220439
ouro,fixed,multihop,raw,44,1,45,False,False,False,0.25,0.02872027339462888,0.221279726605371
ouro,fixed,multihop,raw,45,1,46,False,False,False,0.25,0.060639784232050166,0.1893602157679499
ouro,fixed,multihop,raw,46,1,47,False,False,False,0.20454545454545456,0.07370719511153702,0.1308382594339175
ouro,fixed,multihop,raw,47,1,48,True,False,False,0.17045454545454544,0.07438819095874726,0.09606635449579817
ouro,fixed,multihop,raw,48,2,1,False,False,False,0.18181818181818182,0.04875440028085887,0.1330637815373229
ouro,fixed,multihop,raw,49,2,2,False,False,False,0.11363636363636363,0.016284795033098966,0.09735156860326466
ouro,fixed,multihop,raw,50,2,3,False,False,False,0.07954545454545454,0.009860384979109538,0.069685069566345
ouro,fixed,multihop,raw,51,2,4,False,False,False,0.06818181818181818,0.005604724312322682,0.06257709386949549
ouro,fixed,multihop,raw,52,2,5,False,False,False,0.056818181818181816,0.002726553184490769,0.054091628633691054
ouro,fixed,multihop,raw,53,2,6,False,False,False,0.03409090909090909,0.0017037745158504994,0.03238713457505859
ouro,fixed,multihop,raw,54,2,7,False,False,False,0.011363636363636364,0.0012001736391152944,0.010163462724521068
ouro,fixed,multihop,raw,55,2,8,False,False,False,0.011363636363636364,0.0013723499476552394,0.009991286415981125
ouro,fixed,multihop,raw,56,2,9,False,False,False,0.0,0.0010305671262251996,-0.0010305671262251996
ouro,fixed,multihop,raw,57,2,10,False,False,False,0.0,0.0006809958472102299,-0.0006809958472102299
ouro,fixed,multihop,raw,58,2,11,False,False,False,0.0,0.0005088195386702849,-0.0005088195386702849
ouro,fixed,multihop,raw,59,2,12,False,False,False,0.0,0.0005088195386702849,-0.0005088195386702849
ouro,fixed,multihop,raw,60,2,13,False,False,False,0.0,0.0006784260515603799,-0.0006784260515603799
ouro,fixed,multihop,raw,61,2,14,False,False,False,0.011363636363636364,0.0006784260515603799,0.010685210312075984
ouro,fixed,multihop,raw,62,2,15,False,False,False,0.011363636363636364,0.0023797098423964094,0.008983926521239955
ouro,fixed,multihop,raw,63,2,16,False,False,False,0.022727272727272728,0.0025518861509363543,0.02017538657633637
ouro,fixed,multihop,raw,64,2,17,False,False,False,0.13636363636363635,0.005273299744127422,0.13109033661950892
ouro,fixed,multihop,raw,65,2,18,False,False,False,0.14772727272727273,0.004425267179676948,0.14330200554759576
ouro,fixed,multihop,raw,66,2,19,False,False,False,0.1590909090909091,0.005106263026887176,0.1539846460640219
ouro,fixed,multihop,raw,67,2,20,False,False,False,0.18181818181818182,0.005113972413836727,0.17670420940434503
ouro,fixed,multihop,raw,68,2,21,False,False,False,0.17045454545454544,0.0071518203641677165,0.1633027250903777
ouro,fixed,multihop,raw,69,2,22,False,False,False,0.13636363636363635,0.005620222156857161,0.13074341420677918
ouro,fixed,multihop,raw,70,2,23,False,False,False,0.1590909090909091,0.004088623949546607,0.15500228514136247
ouro,fixed,multihop,raw,71,2,24,False,False,False,0.056818181818181816,0.002053345794865469,0.054764836023316346
ouro,fixed,multihop,raw,72,2,25,False,False,False,0.14772727272727273,0.009022631597258466,0.13870464113001424
ouro,fixed,multihop,raw,73,2,26,False,False,False,0.13636363636363635,0.008493174622754004,0.12787046174088232
ouro,fixed,multihop,raw,74,2,27,False,False,False,0.10227272727272728,0.007472965749763583,0.09479976152296367
ouro,fixed,multihop,raw,75,2,28,False,False,False,0.10227272727272728,0.008326137905513759,0.09394658936721348
ouro,fixed,multihop,raw,76,2,29,False,False,False,0.056818181818181816,0.009510813700094574,0.04730736811808725
ouro,fixed,multihop,raw,77,2,30,False,False,False,0.045454545454545456,0.0069667160067431455,0.03848782944780232
ouro,fixed,multihop,raw,78,2,31,False,False,False,0.022727272727272728,0.004923728465112453,0.01780354426216027
ouro,fixed,multihop,raw,79,2,32,False,False,False,0.011363636363636364,0.0037339130792319384,0.007629723284404424
ouro,fixed,multihop,raw,80,2,33,False,False,False,0.011363636363636364,0.004422618313391718,0.006941018050244643
ouro,fixed,multihop,raw,81,2,34,False,False,False,0.022727272727272728,0.005278439335427122,0.0174488333918456
ouro,fixed,multihop,raw,82,2,35,False,False,False,0.011363636363636364,0.005792398465397106,0.005571237898239254
ouro,fixed,multihop,raw,83,2,36,False,False,False,0.011363636363636364,0.005946507133752722,0.0054171292298836405
ouro,fixed,multihop,raw,84,2,37,False,False,False,0.0,0.007642572262653674,-0.007642572262653674
ouro,fixed,multihop,raw,85,2,38,False,False,False,0.045454545454545456,0.011039842111755276,0.03441470334279018
ouro,fixed,multihop,raw,86,2,39,False,False,False,0.056818181818181816,0.012052341597796145,0.044765840220385676
ouro,fixed,multihop,raw,87,2,40,False,False,False,0.11363636363636363,0.01397478595579003,0.09966157768057358
ouro,fixed,multihop,raw,88,2,41,False,False,False,0.2727272727272727,0.019923941955827987,0.2528033307714447
ouro,fixed,multihop,raw,89,2,42,False,False,False,0.29545454545454547,0.021442612114253898,0.27401193334029145
ouro,fixed,multihop,raw,90,2,43,False,False,False,0.25,0.01957694047246287,0.23042305952753706
ouro,fixed,multihop,raw,91,2,44,False,False,False,0.36363636363636365,0.02059722841608867,0.34303913522027485
ouro,fixed,multihop,raw,92,2,45,False,False,False,0.36363636363636365,0.02331607221362989,0.3403202914227336
