model,seed,task,method,source_index,native_pass_end,to_final_native,to_same_source_coda
ouro,fixed,multihop,raw,0,False,0.0,
ouro,fixed,multihop,raw,1,False,0.022727272727272728,
ouro,fixed,multihop,raw,2,False,0.022727272727272728,
ouro,fixed,multihop,raw,3,False,0.0,
ouro,fixed,multihop,raw,4,False,0.0,
ouro,fixed,multihop,raw,5,False,0.0,
ouro,fixed,multihop,raw,6,False,0.0,
ouro,fixed,multihop,raw,7,False,0.0,
ouro,fixed,multihop,raw,8,False,0.0,
ouro,fixed,multihop,raw,9,False,0.0,
ouro,fixed,multihop,raw,10,False,0.0,
ouro,fixed,multihop,raw,11,False,0.0,
ouro,fixed,multihop,raw,12,False,0.0,
ouro,fixed,multihop,raw,13,False,0.011363636363636364,
ouro,fixed,multihop,raw,14,False,0.011363636363636364,
ouro,fixed,multihop,raw,15,False,0.011363636363636364,
ouro,fixed,multihop,raw,16,False,0.011363636363636364,
ouro,fixed,multihop,raw,17,False,0.011363636363636364,
ouro,fixed,multihop,raw,18,False,0.011363636363636364,
ouro,fixed,multihop,raw,19,False,0.0,
ouro,fixed,multihop,raw,20,False,0.011363636363636364,
ouro,fixed,multihop,raw,21,False,0.011363636363636364,
ouro,fixed,multihop,raw,22,False,0.011363636363636364,
ouro,fixed,multihop,raw,23,False,0.011363636363636364,
ouro,fixed,multihop,raw,24,False,0.011363636363636364,
ouro,fixed,multihop,raw,25,False,0.03409090909090909,
ouro,fixed,multihop,raw,26,False,0.022727272727272728,
ouro,fixed,multihop,raw,27,False,0.022727272727272728,
ouro,fixed,multihop,raw,28,False,0.06818181818181818,
ouro,fixed,multihop,raw,29,False,0.022727272727272728,
ouro,fixed,multihop,raw,30,False,0.03409090909090909,
ouro,fixed,multihop,raw,31,False,0.03409090909090909,
ouro,fixed,multihop,raw,32,False,0.022727272727272728,
ouro,fixed,multihop,raw,33,False,0.03409090909090909,
ouro,fixed,multihop,raw,34,False,0.022727272727272728,
ouro,fixed,multihop,raw,35,False,0.022727272727272728,
ouro,fixed,multihop,raw,36,False,0.011363636363636364,
ouro,fixed,multihop,raw,37,False,0.011363636363636364,
ouro,fixed,multihop,raw,38,False,0.011363636363636364,
ouro,fixed,multihop,raw,39,False,0.022727272727272728,
ouro,fixed,multihop,raw,40,False,0.03409090909090909,
ouro,fixed,multihop,raw,41,False,0.03409090909090909,
ouro,fixed,multihop,raw,42,False,0.045454545454545456,
ouro,fixed,multihop,raw,43,False,0.07954545454545454,
ouro,fixed,multihop,raw,44,False,0.125,
ouro,fixed,multihop,raw,45,False,0.23863636363636365,
ouro,fixed,multihop,raw,46,False,0.3409090909090909,
ouro,fixed,multihop,raw,47,True,0.4318181818181818,
ouro,fixed,multihop,raw,48,False,0.25,
ouro,fixed,multihop,raw,49,False,0.09090909090909091,
ouro,fixed,multihop,raw,50,False,0.011363636363636364,
ouro,fixed,multihop,raw,51,False,0.022727272727272728,
ouro,fixed,multihop,raw,52,False,0.011363636363636364,
ouro,fixed,multihop,raw,53,False,0.011363636363636364,
ouro,fixed,multihop,raw,54,False,0.011363636363636364,
ouro,fixed,multihop,raw,55,False,0.011363636363636364,
ouro,fixed,multihop,raw,56,False,0.022727272727272728,
ouro,fixed,multihop,raw,57,False,0.011363636363636364,
ouro,fixed,multihop,raw,58,False,0.011363636363636364,
ouro,fixed,multihop,raw,59,False,0.011363636363636364,
ouro,fixed,multihop,raw,60,False,0.011363636363636364,
ouro,fixed,multihop,raw,61,False,0.011363636363636364,
ouro,fixed,multihop,raw,62,False,0.011363636363636364,
ouro,fixed,multihop,raw,63,False,0.011363636363636364,
ouro,fixed,multihop,raw,64,False,0.022727272727272728,
ouro,fixed,multihop,raw,65,False,0.022727272727272728,
ouro,fixed,multihop,raw,66,False,0.022727272727272728,
ouro,fixed,multihop,raw,67,False,0.011363636363636364,
ouro,fixed,multihop,raw,68,False,0.0,
ouro,fixed,multihop,raw,69,False,0.011363636363636364,
ouro,fixed,multihop,raw,70,False,0.022727272727272728,
ouro,fixed,multihop,raw,71,False,0.011363636363636364,
ouro,fixed,multihop,raw,72,False,0.07954545454545454,
ouro,fixed,multihop,raw,73,False,0.022727272727272728,
ouro,fixed,multihop,raw,74,False,0.045454545454545456,
ouro,fixed,multihop,raw,75,False,0.07954545454545454,
ouro,fixed,multihop,raw,76,False,0.07954545454545454,
ouro,fixed,multihop,raw,77,False,0.045454545454545456,
ouro,fixed,multihop,raw,78,False,0.045454545454545456,
ouro,fixed,multihop,raw,79,False,0.03409090909090909,
ouro,fixed,multihop,raw,80,False,0.045454545454545456,
ouro,fixed,multihop,raw,81,False,0.03409090909090909,
ouro,fixed,multihop,raw,82,False,0.03409090909090909,
